customer_id,restaurant_id,assigned_driver_id,order_time,batch_id,delivery_distance_km,delivery_time_minutes
2225,2,7,2024-01-01 09:03:00,0,1.03,89
2239,4,44,2024-01-01 21:41:00,151,9.9,66
2504,5,0,2024-01-01 23:04:00,168,14.88,17
992,2,26,2024-01-02 03:26:00,220,11.87,41
1221,3,24,2024-01-02 08:49:00,285,7.89,21
1517,4,24,2024-01-02 14:34:00,354,14.41,17
1203,0,3,2024-01-02 16:47:00,380,12.03,23
1792,0,3,2024-01-02 17:03:00,384,10.72,70
2521,2,32,2024-01-02 22:50:00,453,1.27,87
1855,1,5,2024-01-03 06:23:00,544,5.48,47
1575,1,26,2024-01-03 06:33:00,546,7.8,80
191,1,30,2024-01-03 09:57:00,586,14.57,90
137,3,32,2024-01-03 11:08:00,601,14.21,27
1825,3,28,2024-01-03 12:04:00,612,7.34,70
2253,2,11,2024-01-03 21:50:00,729,5.69,57
1169,0,5,2024-01-04 00:42:00,763,10.17,22
2168,1,0,2024-01-04 03:26:00,796,7.28,87
806,4,30,2024-01-04 06:45:00,836,13.12,64
1181,1,29,2024-01-04 22:36:00,1026,2.13,22
863,1,34,2024-01-04 23:50:00,1041,6.33,39
650,2,15,2024-01-05 00:59:00,1055,3.62,36
1425,2,15,2024-01-05 01:18:00,1059,1.83,77
1155,4,39,2024-01-05 09:08:00,1153,10.38,36
2439,5,13,2024-01-05 10:07:00,1164,5.23,32
2312,3,49,2024-01-05 10:16:00,1166,8.51,65
117,4,10,2024-01-05 12:44:00,1196,11.32,75
2455,0,14,2024-01-05 13:13:00,1202,12.75,67
847,0,24,2024-01-05 17:08:00,1249,5.06,25
2063,3,34,2024-01-05 22:38:00,1315,0.89,59
1289,4,25,2024-01-06 01:02:00,1343,1.12,47
699,3,48,2024-01-06 05:44:00,1400,11.32,75
2395,1,0,2024-01-06 08:11:00,1429,14.57,34
473,2,47,2024-01-06 09:36:00,1446,1.16,79
1148,3,46,2024-01-06 11:33:00,1470,8.98,16
919,1,1,2024-01-06 12:51:00,1485,8.18,29
2265,4,5,2024-01-06 14:38:00,1507,7.11,49
272,5,21,2024-01-06 16:49:00,1533,6.71,74
427,0,13,2024-01-06 23:13:00,1610,11.43,88
2055,0,1,2024-01-07 06:29:00,1697,12.04,68
115,3,34,2024-01-08 02:33:00,1938,4.75,15
2297,5,19,2024-01-08 06:12:00,1981,5.98,46
1210,5,47,2024-01-08 06:36:00,1986,12.27,56
1802,4,13,2024-01-08 12:59:00,2063,9.65,76
843,1,47,2024-01-08 13:10:00,2065,9.32,37
222,0,46,2024-01-08 14:06:00,2076,1.13,83
311,2,7,2024-01-08 16:16:00,2102,14.43,29
2307,4,17,2024-01-08 22:38:00,2179,2.07,27
1249,2,26,2024-01-09 00:23:00,2200,13.48,59
